GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
est72017sex2_age50to54,Population Estimate (as of July 1) - 2017 - Female; Total - 50 to 54 years
est72018sex0_age50to54,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 50 to 54 years
est72018sex1_age50to54,Population Estimate (as of July 1) - 2018 - Male; Total - 50 to 54 years
est72018sex2_age50to54,Population Estimate (as of July 1) - 2018 - Female; Total - 50 to 54 years
est72017sex1_age55to59,Population Estimate (as of July 1) - 2017 - Male; Total - 55 to 59 years
est72017sex2_age55to59,Population Estimate (as of July 1) - 2017 - Female; Total - 55 to 59 years
est72018sex0_age55to59,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 55 to 59 years
est72018sex1_age55to59,Population Estimate (as of July 1) - 2018 - Male; Total - 55 to 59 years
est72018sex2_age55to59,Population Estimate (as of July 1) - 2018 - Female; Total - 55 to 59 years
est72017sex1_age60to64,Population Estimate (as of July 1) - 2017 - Male; Total - 60 to 64 years
est72017sex2_age60to64,Population Estimate (as of July 1) - 2017 - Female; Total - 60 to 64 years
est72018sex0_age60to64,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 60 to 64 years
est72018sex1_age60to64,Population Estimate (as of July 1) - 2018 - Male; Total - 60 to 64 years
est72018sex2_age60to64,Population Estimate (as of July 1) - 2018 - Female; Total - 60 to 64 years
est72017sex1_age65to69,Population Estimate (as of July 1) - 2017 - Male; Total - 65 to 69 years
est72017sex2_age65to69,Population Estimate (as of July 1) - 2017 - Female; Total - 65 to 69 years
est72018sex0_age65to69,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 65 to 69 years
est72018sex1_age65to69,Population Estimate (as of July 1) - 2018 - Male; Total - 65 to 69 years
est72018sex2_age65to69,Population Estimate (as of July 1) - 2018 - Female; Total - 65 to 69 years
est72017sex1_age70to74,Population Estimate (as of July 1) - 2017 - Male; Total - 70 to 74 years
est72017sex2_age70to74,Population Estimate (as of July 1) - 2017 - Female; Total - 70 to 74 years
est72018sex0_age70to74,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 70 to 74 years
est72018sex1_age70to74,Population Estimate (as of July 1) - 2018 - Male; Total - 70 to 74 years
est72018sex2_age70to74,Population Estimate (as of July 1) - 2018 - Female; Total - 70 to 74 years
est72017sex1_age75to79,Population Estimate (as of July 1) - 2017 - Male; Total - 75 to 79 years
est72017sex2_age75to79,Population Estimate (as of July 1) - 2017 - Female; Total - 75 to 79 years
est72018sex0_age75to79,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 75 to 79 years
est72018sex1_age75to79,Population Estimate (as of July 1) - 2018 - Male; Total - 75 to 79 years
est72018sex2_age75to79,Population Estimate (as of July 1) - 2018 - Female; Total - 75 to 79 years
est72017sex1_age80to84,Population Estimate (as of July 1) - 2017 - Male; Total - 80 to 84 years
est72017sex2_age80to84,Population Estimate (as of July 1) - 2017 - Female; Total - 80 to 84 years
est72018sex0_age80to84,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 80 to 84 years
est72018sex1_age80to84,Population Estimate (as of July 1) - 2018 - Male; Total - 80 to 84 years
est72018sex2_age80to84,Population Estimate (as of July 1) - 2018 - Female; Total - 80 to 84 years
est72017sex1_age85plus,Population Estimate (as of July 1) - 2017 - Male; Total - 85 years and over
est72017sex2_age85plus,Population Estimate (as of July 1) - 2017 - Female; Total - 85 years and over
est72018sex0_age85plus,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 85 years and over
est72018sex1_age85plus,Population Estimate (as of July 1) - 2018 - Male; Total - 85 years and over
est72018sex2_age85plus,Population Estimate (as of July 1) - 2018 - Female; Total - 85 years and over
est72017sex1_age0to17,Population Estimate (as of July 1) - 2017 - Male; Under 18 years
est72017sex2_age0to17,Population Estimate (as of July 1) - 2017 - Female; Under 18 years
est72018sex0_age0to17,Population Estimate (as of July 1) - 2018 - Both Sexes; Under 18 years
est72018sex1_age0to17,Population Estimate (as of July 1) - 2018 - Male; Under 18 years
est72018sex2_age0to17,Population Estimate (as of July 1) - 2018 - Female; Under 18 years
est72017sex1_age5to13,Population Estimate (as of July 1) - 2017 - Male; Under 18 years - 5 to 13 years
est72017sex2_age5to13,Population Estimate (as of July 1) - 2017 - Female; Under 18 years - 5 to 13 years
est72018sex0_age5to13,Population Estimate (as of July 1) - 2018 - Both Sexes; Under 18 years - 5 to 13 years
est72018sex1_age5to13,Population Estimate (as of July 1) - 2018 - Male; Under 18 years - 5 to 13 years
est72018sex2_age5to13,Population Estimate (as of July 1) - 2018 - Female; Under 18 years - 5 to 13 years
est72017sex1_age18to64,Population Estimate (as of July 1) - 2017 - Male; 18 to 64 years
est72017sex2_age18to64,Population Estimate (as of July 1) - 2017 - Female; 18 to 64 years
est72018sex0_age18to64,Population Estimate (as of July 1) - 2018 - Both Sexes; 18 to 64 years
est72018sex1_age18to64,Population Estimate (as of July 1) - 2018 - Male; 18 to 64 years
est72018sex2_age18to64,Population Estimate (as of July 1) - 2018 - Female; 18 to 64 years
est72017sex1_age25to44,Population Estimate (as of July 1) - 2017 - Male; 18 to 64 years - 25 to 44 years
est72017sex2_age25to44,Population Estimate (as of July 1) - 2017 - Female; 18 to 64 years - 25 to 44 years
est72018sex0_age25to44,Population Estimate (as of July 1) - 2018 - Both Sexes; 18 to 64 years - 25 to 44 years
est72018sex1_age25to44,Population Estimate (as of July 1) - 2018 - Male; 18 to 64 years - 25 to 44 years
est72018sex2_age25to44,Population Estimate (as of July 1) - 2018 - Female; 18 to 64 years - 25 to 44 years
est72017sex1_age18plus,Population Estimate (as of July 1) - 2017 - Male; 18 years and over
est72017sex2_age18plus,Population Estimate (as of July 1) - 2017 - Female; 18 years and over
est72018sex0_age18plus,Population Estimate (as of July 1) - 2018 - Both Sexes; 18 years and over
est72018sex1_age18plus,Population Estimate (as of July 1) - 2018 - Male; 18 years and over
est72018sex2_age18plus,Population Estimate (as of July 1) - 2018 - Female; 18 years and over
est72017sex1_medage,Population Estimate (as of July 1) - 2017 - Male; Median age (years)
est72017sex2_medage,Population Estimate (as of July 1) - 2017 - Female; Median age (years)
est72018sex0_medage,Population Estimate (as of July 1) - 2018 - Both Sexes; Median age (years)
est72018sex1_medage,Population Estimate (as of July 1) - 2018 - Male; Median age (years)
est72018sex2_medage,Population Estimate (as of July 1) - 2018 - Female; Median age (years)
